1,3,imdb
Walter Williamson,Errol Dandridge,tt0398165
Bill Goldberg,Battle,tt0398165
Terry Crews,Cheeseburger Eddy,tt0398165
Bob Sapp,Switowski,tt0398165
Nicholas Turturro,Brucie,tt0398165
...,,tt0476503
Vin Diesel,Shane Wolfe,tt0395699
Lauren Graham,Principal Claire Fletcher,tt0395699
Faith Ford,Julie Plummer,tt0395699
Brittany Snow,Zoe Plummer,tt0395699
Max Thieriot,Seth Plummer,tt0395699
Chris Potter,Capt. Bill Fawcett,tt0395699
Carol Kane,Helga,tt0395699
Brad Garrett,Vice Principal Dwayne Murney,tt0395699
Morgan York,Lulu Plummer,tt0395699
Kegan Hoover,Peter Plummer (as Keegan Hoover),tt0395699
Jim Carrey,Dick Harper,tt0369441
Téa Leoni,Jane Harper,tt0369441
Alec Baldwin,Jack McCallister,tt0369441
Richard Jenkins,Frank Bascombe,tt0369441
Angie Harmon,Veronica Cleeman,tt0369441
John Michael Higgins,Garth,tt0369441
Richard Burgi,Joe Cleeman,tt0369441
Carlos Jacott,Oz Peterson,tt0369441
Aaron Michael Drozin,Billy Harper,tt0369441
Gloria Garayua,Blanca,tt0369441
Martin Hancock,Gravedigger,tt0320661
Michael Sheen,Priest,tt0320661
Nathalie Cox,Balian's Wife,tt0320661
Eriq Ebouaney,Firuz,tt0320661
Jouko Ahola,Odo,tt0320661
David Thewlis,Hospitaler,tt0320661
Liam Neeson,Godfrey de Ibelin,tt0320661
Philip Glenister,Squire,tt0320661
Orlando Bloom,Balian de Ibelin,tt0320661
Bronson Webb,Apprentice,tt0320661
Jodie Foster,Kyle Pratt,tt0408790
Peter Sarsgaard,Carson,tt0408790
Sean Bean,Captain Rich,tt0408790
Kate Beahan,Stephanie,tt0408790
Michael Irby,Obaid,tt0408790
Assaf Cohen,Ahmed,tt0408790
Erika Christensen,Fiona,tt0408790
Shane Edelman,Mr. Loud,tt0408790
Mary Gallagher,Mrs. Loud,tt0408790
Haley Ramm,Brittany Loud,tt0408790
Keanu Reeves,John Constantine,tt0360486
Rachel Weisz,Angela Dodson / Isabel Dodson,tt0360486
Shia LaBeouf,Chas Kramer,tt0360486
Djimon Hounsou,Midnite,tt0360486
Max Baker,Beeman,tt0360486
Pruitt Taylor Vince,Father Hennessy,tt0360486
Gavin Rossdale,Balthazar,tt0360486
Tilda Swinton,Gabriel,tt0360486
Peter Stormare,Satan,tt0360486
Jesse Ramirez,Scavenger,tt0360486
Paula Abdul,Watch (voice),tt0358082
Halle Berry,Cappy (voice),tt0358082
Lucille Bliss,Pigeon Lady (voice),tt0358082
Terry Bradshaw,Broken Arm Bot (voice),tt0358082
Jim Broadbent,Madame Gasket (voice),tt0358082
Mel Brooks,Bigweld (voice),tt0358082
Amanda Bynes,Piper (voice),tt0358082
Drew Carey,Crank (voice),tt0358082
Jennifer Coolidge,Aunt Fanny (voice),tt0358082
Dylan Denton,Youngest Rodney (voice),tt0358082
Owen Wilson,John Beckwith,tt0396269
Vince Vaughn,Jeremy Grey,tt0396269
Christopher Walken,Secretary Cleary,tt0396269
Rachel McAdams,Claire Cleary,tt0396269
Isla Fisher,Gloria Cleary,tt0396269
Jane Seymour,Kathleen Cleary,tt0396269
Ellen Albertini Dow,Grandma Mary Cleary,tt0396269
Keir O'Donnell,Todd Cleary,tt0396269
Bradley Cooper,Sack Lodge,tt0396269
Ron Canada,Randolph,tt0396269
Zach Braff,Chicken Little (voice),tt0371606
Garry Marshall,Buck Cluck (voice),tt0371606
Don Knotts,Mayor Turkey Lurkey (voice),tt0371606
Patrick Stewart,Mr. Woolensworth (voice),tt0371606
Amy Sedaris,Foxy Loxy (voice),tt0371606
Steve Zahn,Runt of the Litter (voice),tt0371606
Joan Cusack,Abby Mallard (voice),tt0371606
Wallace Shawn,Principal Fetchit (voice),tt0371606
Harry Shearer,Dog Announcer (voice),tt0371606
Fred Willard,Melvin - Alien Dad (voice),tt0371606
Will Smith,Hitch,tt0386588
Eva Mendes,Sara,tt0386588
Kevin James,Albert,tt0386588
Amber Valletta,Allegra,tt0386588
Julie Ann Emery,Casey,tt0386588
Adam Arkin,Max,tt0386588
Robinne Lee,Cressida,tt0386588
Nathan Lee Graham,Geoff,tt0386588
Michael Rapaport,Ben,tt0386588
Jeffrey Donovan,Vance,tt0386588
Christian Bale,Bruce Wayne / Batman,tt0372784
Michael Caine,Alfred,tt0372784
Liam Neeson,Ducard,tt0372784
Katie Holmes,Rachel Dawes,tt0372784
Gary Oldman,Jim Gordon,tt0372784
Cillian Murphy,Dr. Jonathan Crane / The Scarecrow,tt0372784
Tom Wilkinson,Carmine Falcone,tt0372784
Rutger Hauer,Earle,tt0372784
Ken Watanabe,Ra's Al Ghul,tt0372784
Mark Boone Junior,Flass,tt0372784
Johnny Depp,Willy Wonka,tt0367594
Freddie Highmore,Charlie Bucket,tt0367594
David Kelly,Grandpa Joe,tt0367594
Helena Bonham Carter,Mrs. Bucket,tt0367594
Noah Taylor,Mr. Bucket,tt0367594
Missi Pyle,Mrs. Beauregarde,tt0367594
James Fox,Mr. Salt,tt0367594
Deep Roy,Oompa Loompa,tt0367594
Christopher Lee,Dr. Wonka,tt0367594
Adam Godley,Mr. Teavee,tt0367594
Brad Pitt,John Smith,tt0356910
Angelina Jolie,Jane Smith,tt0356910
Vince Vaughn,Eddie,tt0356910
Adam Brody,Benjamin Danz,tt0356910
Kerry Washington,Jasmine,tt0356910
Keith David,Father,tt0356910
Chris Weitz,Martin Coleman,tt0356910
Rachael Huntley,Suzy Coleman,tt0356910
Michelle Monaghan,Gwen,tt0356910
Stephanie March,Julie - Associate #1,tt0356910
Ben Stiller,Alex (voice),tt0351283
Chris Rock,Marty (voice),tt0351283
David Schwimmer,Melman (voice),tt0351283
Jada Pinkett Smith,Gloria (voice),tt0351283
Sacha Baron Cohen,Julien (voice),tt0351283
Cedric the Entertainer,Maurice (voice),tt0351283
Andy Richter,Mort (voice),tt0351283
Tom McGrath,Skipper / Fossa / Panicky Man on Subway (voice),tt0351283
Christopher Knights,Private (voice),tt0351283
Chris Miller,Kowalski (voice),tt0351283
Naomi Watts,Ann Darrow,tt0360717
Jack Black,Carl Denham,tt0360717
Adrien Brody,Jack Driscoll,tt0360717
Thomas Kretschmann,Captain Englehorn,tt0360717
Colin Hanks,Preston,tt0360717
Andy Serkis,Kong / Lumpy,tt0360717
Evan Parke,Hayes,tt0360717
Jamie Bell,Jimmy,tt0360717
Lobo Chan,Choy,tt0360717
John Sumner,Herb,tt0360717
Tom Cruise,Ray Ferrier,tt0407304
Dakota Fanning,Rachel Ferrier,tt0407304
Miranda Otto,Mary Ann,tt0407304
Justin Chatwin,Robbie,tt0407304
Tim Robbins,Harlan Ogilvy,tt0407304
Rick Gonzalez,Vincent,tt0407304
Yul Vazquez,Julio (as Yul Vázquez),tt0407304
Lenny Venito,Manny the Mechanic,tt0407304
Lisa Ann Walter,Bartender,tt0407304
Ann Robinson,Grandmother,tt0407304
Georgie Henley,Lucy Pevensie,tt0363771
Skandar Keynes,Edmund Pevensie,tt0363771
William Moseley,Peter Pevensie,tt0363771
Anna Popplewell,Susan Pevensie,tt0363771
Tilda Swinton,White Witch,tt0363771
James McAvoy,Mr. Tumnus,tt0363771
Jim Broadbent,Professor Kirke,tt0363771
Kiran Shah,Ginarrbrik,tt0363771
James Cosmo,Father Christmas,tt0363771
Judy McIntosh,Mrs. Pevensie,tt0363771
Ewan McGregor,Obi-Wan Kenobi,tt0121766
Natalie Portman,Padmé,tt0121766
Hayden Christensen,Anakin Skywalker,tt0121766
Ian McDiarmid,Supreme Chancellor Palpatine,tt0121766
Samuel L. Jackson,Mace Windu,tt0121766
Jimmy Smits,Senator Bail Organa,tt0121766
Frank Oz,Yoda (voice),tt0121766
Anthony Daniels,C-3PO,tt0121766
Christopher Lee,Count Dooku,tt0121766
Keisha Castle-Hughes,Queen of Naboo,tt0121766
Eric Sykes,Frank Bryce,tt0330373
Timothy Spall,Wormtail,tt0330373
David Tennant,Barty Crouch Junior,tt0330373
Daniel Radcliffe,Harry Potter,tt0330373
Emma Watson,Hermione Granger,tt0330373
Rupert Grint,Ron Weasley,tt0330373
Mark Williams,Arthur Weasley,tt0330373
James Phelps,Fred Weasley,tt0330373
Oliver Phelps,George Weasley,tt0330373
Bonnie Wright,Ginny Weasley,tt0330373
Ashley Judd,Jessica Shepard,tt0315297
Samuel L. Jackson,John Mills,tt0315297
Andy Garcia,Mike Delmarco,tt0315297
David Strathairn,Dr. Melvin Frank,tt0315297
Russell Wong,Lieutenant Tong,tt0315297
Camryn Manheim,Lisa,tt0315297
Mark Pellegrino,Jimmy Schmidt,tt0315297
Titus Welliver,Dale Becker,tt0315297
D.W. Moffett,Ray Porter,tt0315297
Richard T. Jones,Wilson Jefferson,tt0315297
Kirsten Dunst,Lizzie Bradbury,tt0360201
Paul Bettany,Peter Colt,tt0360201
Sam Neill,Dennis Bradbury,tt0360201
Jon Favreau,Ron Roth,tt0360201
Bernard Hill,Edward Colt,tt0360201
Eleanor Bron,Augusta Colt,tt0360201
Nikolaj Coster-Waldau,Dieter Prohl,tt0360201
Austin Nichols,Jake Hammond,tt0360201
Robert Lindsay,Ian Frazier,tt0360201
James McAvoy,Carl Colt,tt0360201
Jon Heder,Napoleon Dynamite,tt0374900
Jon Gries,Uncle Rico,tt0374900
Aaron Ruell,Kip,tt0374900
Efren Ramirez,Pedro,tt0374900
Diedrich Bader,Rex,tt0374900
Tina Majorino,Deb,tt0374900
Sandy Martin,Grandma,tt0374900
Haylie Duff,Summer Wheatly,tt0374900
Trevor Snarr,Don,tt0374900
Shondrella Avery,Lafawnduh,tt0374900
John Ashker,Yellow Car Driver,tt0329691
Max Beesley,Luther,tt0329691
Dane Cook,Neil Luff,tt0329691
Ice Cube,Trey,tt0329691
John Doe,Sheriff Barnes,tt0329691
Gichi Gamba,Nomo,tt0329691
Lance Gilbert,18 Wheeler Driver,tt0329691
Martin Henderson,Ford,tt0329691
Jay Hernandez,Dalton,tt0329691
Will Yun Lee,Val,tt0329691
Kenan Thompson,Fat Albert,tt0396592
Kyla Pratt,Doris,tt0396592
Dania Ramirez,Lauri,tt0396592
Shedrack Anderson III,Rudy,tt0396592
Aaron Frazier,Old Weird Harold (as Aaron A. Frazier),tt0396592
Marques Houston,Dumb Donald (as Marques B. Houston),tt0396592
Alphonso McAuley,Bucky,tt0396592
Keith Robinson,Bill (as Keith D. Robinson),tt0396592
Jermaine Williams,Mushmouth,tt0396592
Aaron Carter,Teen,tt0396592
Omarion,David (as Omari Grandberry),tt0365957
Marques Houston,Elgin,tt0365957
Jennifer Freeman,Liyah,tt0365957
Jarell Houston,Rico,tt0365957
Lil' Fizz,Rashann (as Dreux Frederic),tt0365957
Raz B,Vick (as DeMario Thornton),tt0365957
Marty Dew,Marty,tt0365957
Jerome Jones,Sonny,tt0365957
Tanee McCall,Toya (as Tuere 'Tanee' McCall),tt0365957
Malcolm David Kelley,Lil Saint,tt0365957
Kate Hudson,Helen Harris,tt0350028
John Corbett,Pastor Dan Parker,tt0350028
Joan Cusack,Jenny Portman,tt0350028
Hayden Panettiere,Audrey Davis,tt0350028
Spencer Breslin,Henry Davis,tt0350028
Abigail Breslin,Sarah Davis,tt0350028
Helen Mirren,Dominique,tt0350028
Sakina Jaffrey,Nilma Prasad,tt0350028
Kevin Kilner,Ed Portman,tt0350028
Felicity Huffman,Lindsay Davis,tt0350028
Trey Parker,Gary Johnston / Joe / Kim Jong Il / Hans Blix / Carson / Matt Damon / Drunk in Bar / Tim Robbins / Sean Penn / Michael Moore / Helen Hunt / Susan Sarandon / Others (voice),tt0372588
Matt Stone,Chris / George Clooney / Danny Glover / Ethan Hawke / Additional Voices (voice),tt0372588
Kristen Miller,Lisa (voice),tt0372588
Masasa Moyo,Sarah (voice) (as Masasa),tt0372588
Daran Norris,Spottswoode (voice),tt0372588
Phil Hendrie,I.N.T.E.L.L.I.G.E.N.C.E. / Chechnyan Terrorist (voice),tt0372588
Maurice LaMarche,Alec Baldwin (voice),tt0372588
Chelsea Marguerite,French Mother (voice),tt0372588
Jeremy Shada,Jean Francois (voice),tt0372588
Fred Tatasciore,Samuel L. Jackson (voice),tt0372588
A. Russell Andrews,Jimmy Weeks (as Russell Andrews),tt0330793
Omar Avila,Joe Toro,tt0330793
James Carpinello,Bobby Saint / John Saint,tt0330793
Mark Collie,Harry Heck,tt0330793
Russell Durham Comegys,Tattooed Mike (as Russ Comegys),tt0330793
Antoni Corone,T.J.,tt0330793
Rick Elmhurst,Bay News 9 Newscaster,tt0330793
Ben Foster,Spacker Dave,tt0330793
Michael Reardon,Toro Croupier (as Michael Francis),tt0330793
Laura Harring,Livia Saint,tt0330793
Adam Sandler,John Clasky,tt0371246
Téa Leoni,Deborah Clasky,tt0371246
Paz Vega,Flor,tt0371246
Cloris Leachman,Evelyn,tt0371246
Shelbie Bruce,Cristina,tt0371246
Sarah Steele,Bernice,tt0371246
Ian Donovan Hyland,Georgie (as Ian Hyland),tt0371246
Victoria Luna,Cristina (six years old),tt0371246
Cecilia Suárez,Monica (as Cecilia Suarez),tt0371246
Ricardo Molina,Flor's Husband,tt0371246
Caroline Aaron,Marilyn Mooney,tt0337921
Kim Basinger,Jessica Martin,tt0337921
Brenda Ballard,Irate Customer #1,tt0337921
Will Beinbrink,Young Security Guard,tt0337921
Jessica Biel,Chloe,tt0337921
Chase Ellis Bloch,Timid Boy (as Chase Bloch),tt0337921
Chelsea Ellis Bloch,Surf Girl's Friend (as Chelsea Bloch),tt0337921
Chantille Boudousque,Chloe's Chilly Friend,tt0337921
Robin Brenner,Excitable Customer,tt0337921
Richard Burgi,Craig Martin,tt0337921
Michael Bowen,Sheriff Stan Watkins,tt0351977
Johnny Knoxville,Ray Templeton,tt0351977
Dwayne Johnson,Chris Vaughn (as The Rock),tt0351977
Neal McDonough,Jay Hamilton,tt0351977
Ashley Scott,Deni,tt0351977
John Beasley,Chris Vaughn Sr.,tt0351977
Barbara Tarbuck,Connie Vaughn,tt0351977
Kristen Wilson,Michelle Vaughn,tt0351977
Khleo Thomas,Pete Vaughn,tt0351977
Kevin Durand,Booth,tt0351977
Gael García Bernal,Ernesto Guevara de la Serna,tt0318462
Rodrigo De la Serna,Alberto Granado,tt0318462
Mía Maestro,Chichina Ferreyra,tt0318462
Mercedes Morán,Celia de la Serna (Argentina),tt0318462
Jean Pierre Noher,Ernesto Guevara Lynch (Argentina) (as Jean-Pierre Noher),tt0318462
Lucas Oro,Roberto Guevara (Argentina),tt0318462
Marina Glezer,Celita Guevara (Argentina),tt0318462
Sofia Bertolotto,Ana María Guevara (Argentina) (as Sofía Bertolotto),tt0318462
Franco Solazzi,Juan Martín Guevara (Argentina),tt0318462
Ricardo Díaz Mourelle,Uncle Jorge (Argentina) (as Ricardo Diaz Mourelle),tt0318462
Gwyneth Paltrow,Polly Perkins,tt0346156
Jude Law,Sky Captain,tt0346156
Giovanni Ribisi,Dex,tt0346156
Michael Gambon,Editor Paley,tt0346156
Bai Ling,Mysterious Woman,tt0346156
Omid Djalili,Kaji,tt0346156
Laurence Olivier,Dr. Totenkopf (archive footage) (as Sir Laurence Olivier),tt0346156
Angelina Jolie,Franky,tt0346156
Trevor Baxter,Dr. Jennings,tt0346156
Julian Curry,Dr. Vargas,tt0346156
Dennis Quaid,Dan,tt0385267
Topher Grace,Carter,tt0385267
Scarlett Johansson,Alex,tt0385267
Marg Helgenberger,Ann,tt0385267
David Paymer,Morty,tt0385267
Clark Gregg,Steckle,tt0385267
Philip Baker Hall,Eugene Kalb,tt0385267
Selma Blair,Kimberly,tt0385267
Frankie Faison,Corwin,tt0385267
Ty Burrell,Enrique Colon,tt0385267
Pierce Brosnan,Max Burdett,tt0367479
Salma Hayek,Lola Cirillo,tt0367479
Woody Harrelson,Stan Lloyd,tt0367479
Don Cheadle,Henri Mooré,tt0367479
Naomie Harris,Sophie,tt0367479
Chris Penn,Rowdy Fan,tt0367479
Troy Garity,Luc,tt0367479
Obba Babatundé,Zacharias (as Obba Babatunde),tt0367479
Russell Hornsby,Jean-Paul,tt0367479
Mykelti Williamson,Agent Stafford,tt0367479
Billy Bob Thornton,Coach Gary Gaines,tt0390022
Lucas Black,Mike Winchell,tt0390022
Garrett Hedlund,Don Billingsley,tt0390022
Derek Luke,Boobie Miles,tt0390022
Jay Hernandez,Brian Chavez,tt0390022
Lee Jackson,Ivory Christian,tt0390022
Lee Thompson Young,Chris Comer,tt0390022
Tim McGraw,Charles Billingsley,tt0390022
Grover Coulson,L.V. Miles,tt0390022
Connie Britton,Sharon Gaines,tt0390022
Guy Pearce,Aidan McRory,tt0338512
Jean-Claude Dreyfus,Administrator Eugene Normandin,tt0338512
Freddie Highmore,Raoul Normandin,tt0338512
Oanh Nguyen,His Excellency,tt0338512
Philippine Leroy-Beaulieu,Mrs. Normandin,tt0338512
Moussa Maaskri,Saladin,tt0338512
Vincent Scarito,Zerbino,tt0338512
Maï Anh Le,Naï-Rea,tt0338512
Jaran 'See Tao' Petcharoen,The Village Chief (as Jaran Phetjareon 'Sitao'),tt0338512
Stéphanie Lagarde,Miss Paulette,tt0338512
Kurt Russell,Herb Brooks,tt0349825
Patricia Clarkson,Patti Brooks,tt0349825
Noah Emmerich,Craig Patrick,tt0349825
Sean McCann,Walter Bush,tt0349825
Kenneth Welsh,Doc Nagobads,tt0349825
Eddie Cahill,Jim Craig,tt0349825
Patrick O'Brien Demsey,Mike Eruzione,tt0349825
Michael Mantenuto,Jack O'Callahan,tt0349825
Nathan West,Rob McClanahan,tt0349825
Kenneth Mitchell,Ralph Cox,tt0349825
Angelina Jolie,Illeana,tt0364045
Ethan Hawke,Costa,tt0364045
Kiefer Sutherland,Hart,tt0364045
Gena Rowlands,Mrs. Asher,tt0364045
Olivier Martinez,Paquette,tt0364045
Tchéky Karyo,Leclair,tt0364045
Jean-Hugues Anglade,Duval,tt0364045
Paul Dano,Young Asher,tt0364045
Justin Chatwin,Matt Soulsby,tt0364045
André Lacoste,Cashier,tt0364045
Ice Cube,Calvin,tt0337579
Cedric the Entertainer,Eddie,tt0337579
Sean Patrick Thomas,Jimmy,tt0337579
Eve,Terri,tt0337579
Troy Garity,Isaac,tt0337579
Michael Ealy,Ricky,tt0337579
Leonard Earl Howze,Dinka,tt0337579
Harry Lennix,Quentin Leroux,tt0337579
Robert Wisdom,Alderman Brown,tt0337579
Jazsmin Lewis,Jennifer,tt0337579
Queen Latifah,Isabelle 'Belle' Williams,tt0316732
Jimmy Fallon,Andrew 'Andy' Washburn,tt0316732
Henry Simmons,Jesse,tt0316732
Jennifer Esposito,Lt. Marta Robbins,tt0316732
Gisele Bündchen,Vanessa,tt0316732
Ana Cristina de Oliveira,Redhead,tt0316732
Ingrid Vandebosch,Third Robber,tt0316732
Magali Amadei,Fourth Robber,tt0316732
Ann-Margret,Mrs. Washburn,tt0316732
Christian Kane,Agent Mullins,tt0316732
Matthew Price,Young Tom,tt0364751
Andrew Hampton,Young Jerry,tt0364751
Jarred Rumbold,Young Dan,tt0364751
Carl Snell,Young Billy,tt0364751
Antony Starr,Billy Newwood (as Anthony Starr),tt0364751
Dax Shepard,Tom Marshall,tt0364751
Matthew Lillard,Jerry Conlaine,tt0364751
Seth Green,Dan Mott,tt0364751
Nadine Bernecker,Angie,tt0364751
Danielle Cormack,Tony,tt0364751
Dong-Gun Jang,Jin-tae Lee,tt0386064
Won Bin,Jin-seok Lee,tt0386064
Eun-ju Lee,Young-shin Kim,tt0386064
Hyeong-jin Kong,Yong-man,tt0386064
Yeong-ran Lee,Mother Lee,tt0386064
Kil-kang Ahn,Sergeant Huh (as Kil-Kang Ahn),tt0386064
Jin Jung,Sergeant Lim,tt0386064
Jae-hyeong Jeon,Yong-seok,tt0386064
Min-ho Jang,Old Jin-seok Lee,tt0386064
Yun-hie Jo,Jin-seok Lee's grandaughter,tt0386064
Hilary Duff,Sam,tt0356470
Jennifer Coolidge,Fiona,tt0356470
Chad Michael Murray,Austin,tt0356470
Dan Byrd,Carter,tt0356470
Regina King,Rhonda,tt0356470
Julie Gonzalo,Shelby,tt0356470
Lin Shaye,Mrs. Wells,tt0356470
Madeline Zima,Brianna,tt0356470
Andrea Avery Ray,Gabriella (as Andrea Avery),tt0356470
Mary Pat Gleason,Eleanor,tt0356470
Audrey Tautou,Mathilde,tt0344510
Gaspard Ulliel,Manech,tt0344510
Dominique Pinon,Sylvain,tt0344510
Chantal Neuwirth,Bénédicte,tt0344510
André Dussollier,Pierre-Marie Rouvières,tt0344510
Ticky Holgado,Germain Pire,tt0344510
Marion Cotillard,Tina Lombardi,tt0344510
Dominique Bettenfeld,Ange Bassignano,tt0344510
Jodie Foster,Elodie Gordes,tt0344510
Jean-Pierre Darroussin,Benjamin Gordes (as Jean Pierre Darroussin),tt0344510
Johnny Messner,Bill Johnson,tt0366174
KaDee Strickland,Sam Rogers,tt0366174
Matthew Marsden,Dr. Jack Byron,tt0366174
Nicholas Gonzalez,Dr. Ben Douglas,tt0366174
Eugene Byrd,Cole Burris,tt0366174
Karl Yune,Tran,tt0366174
Salli Richardson-Whitfield,Gail Stern,tt0366174
Morris Chestnut,Gordon Mitchell,tt0366174
Andy Anderson,John Livingston,tt0366174
Nicholas Hope,Christian Van Dyke,tt0366174
Jackie Chan,Passepartout / Lau Xing,tt0327437
Steve Coogan,Phileas Fogg,tt0327437
Cécile de France,Monique La Roche (as Cécile De France),tt0327437
Robert Fyfe,Jean Michel,tt0327437
Jim Broadbent,Lord Kelvin,tt0327437
Ian McNeice,Colonel Kitchener,tt0327437
David Ryall,Lord Salisbury,tt0327437
Roger Hammond,Lord Rhodes,tt0327437
Adam Godley,Mr. Sutton,tt0327437
Howard Cooper,Academy Member #1,tt0327437
Jim Carrey,Joel Barish,tt0338013
Kate Winslet,Clementine Kruczynski,tt0338013
Gerry Robert Byrne,Train Conductor,tt0338013
Elijah Wood,Patrick,tt0338013
Thomas Jay Ryan,Frank,tt0338013
Mark Ruffalo,Stan,tt0338013
Jane Adams,Carrie,tt0338013
David Cross,Rob,tt0338013
Kirsten Dunst,Mary,tt0338013
Tom Wilkinson,Dr. Mierzwiak,tt0338013
Tom Hanks,Professor G.H. Dorr,tt0335245
Irma P. Hall,Marva Munson,tt0335245
Marlon Wayans,Gawain MacSam,tt0335245
J.K. Simmons,Garth Pancake,tt0335245
Tzi Ma,The General,tt0335245
Ryan Hurst,Lump Hudson,tt0335245
Diane Delano,Mountain Girl,tt0335245
George Wallace,Sheriff Wyner,tt0335245
John McConnell,Deputy Sheriff,tt0335245
Jason Weaver,Weemack Funthes,tt0335245
Stellan Skarsgård,Father Merrin,tt0204313
Izabella Scorupco,Sarah,tt0204313
James D'Arcy,Father Francis,tt0204313
Remy Sweeney,Joseph,tt0204313
Julian Wadham,Major Granville,tt0204313
Andrew French,Chuma,tt0204313
Ralph Brown,Sergeant Major,tt0204313
Ben Cross,Semelier,tt0204313
David Bradley,Father Gionetti,tt0204313
Alan Ford,Jefferies,tt0204313
Halle Berry,Patience Phillips / Catwoman,tt0327554
Benjamin Bratt,Tom Lone,tt0327554
Sharon Stone,Laurel Hedare,tt0327554
Lambert Wilson,George Hedare,tt0327554
Frances Conroy,Ophelia,tt0327554
Alex Borstein,Sally,tt0327554
Michael Massee,Armando,tt0327554
Byron Mann,Wesley,tt0327554
Kim Smith,Drina,tt0327554
Christopher Heyerdahl,Rocker,tt0327554
Will Ferrell,Ron Burgundy,tt0357413
Christina Applegate,Veronica Corningstone,tt0357413
Paul Rudd,Brian Fantana,tt0357413
Steve Carell,Brick Tamland,tt0357413
David Koechner,Champ Kind,tt0357413
Fred Willard,Ed Harken,tt0357413
Chris Parnell,Garth Holliday,tt0357413
Kathryn Hahn,Helen,tt0357413
Fred Armisen,Tino,tt0357413
Seth Rogen,Eager Cameraman,tt0357413
Takeshi Kaneshiro,Jin,tt0385004
Andy Lau,Leo,tt0385004
Ziyi Zhang,Xiao Mei (as Zhang Ziyi),tt0385004
Dandan Song,Yee,tt0385004
Hongfei Zhao,Performer,tt0385004
Jun Guo,Performer,tt0385004
Shu Zhang,Performer,tt0385004
Jiusheng Wang,Performer,tt0385004
Zhengyong Zhang,Performer,tt0385004
Yongxin Wang,Performer,tt0385004
Johnny Depp,Mort Rainey,tt0363988
John Turturro,John Shooter,tt0363988
Maria Bello,Amy Rainey,tt0363988
Timothy Hutton,Ted Milner,tt0363988
Charles S. Dutton,Ken Karsch,tt0363988
Len Cariou,Sheriff Dave Newsome,tt0363988
Joan Heney,Mrs. Garvey,tt0363988
John Dunn-Hill,Tom Greenleaf (as John Dunn Hill),tt0363988
Vlasta Vrana,Fire Chief Wickersham,tt0363988
Matt Holland,Detective Bradley,tt0363988
Ashton Kutcher,Evan,tt0289879
Melora Walters,Andrea,tt0289879
Amy Smart,Kayleigh,tt0289879
Elden Henson,Lenny,tt0289879
William Lee Scott,Tommy,tt0289879
John Patrick Amedori,Evan at 13,tt0289879
Irina Gorovaia,Kayleigh at 13 (as Irene Gorovaia),tt0289879
Kevin G. Schmidt,Lenny at 13,tt0289879
Jesse James,Tommy at 13,tt0289879
Logan Lerman,Evan at 7,tt0289879
Jeffrey Wright,Al Melvin,tt0368008
Pablo Schreiber,Eddie Ingram,tt0368008
Anthony Mackie,Robert Baker,tt0368008
Dorian Missick,Owens,tt0368008
Jose Pablo Cantillo,Villalobos,tt0368008
Teddy Dunn,Wilson,tt0368008
Joaquin Perez-Campbell,Atkins,tt0368008
Tim Artz,Jameson,tt0368008
Denzel Washington,Ben Marco,tt0368008
Robyn Hitchcock,Laurent Tokar,tt0368008
Jennifer Garner,Jenna Rink,tt0337563
Mark Ruffalo,Matt Flamhaff,tt0337563
Judy Greer,Lucy Wyman,tt0337563
Andy Serkis,Richard Kneeland,tt0337563
Kathy Baker,Bev Rink,tt0337563
Phil Reeves,Wayne Rink,tt0337563
Sam Ball,Alex Carlson (as Samuel Ball),tt0337563
Marcia DeBonis,Arlene,tt0337563
Christa B. Allen,Young Jenna,tt0337563
Sean Marquette,Young Matt,tt0337563
Tim Allen,Luther Krank,tt0388419
Jamie Lee Curtis,Nora Krank,tt0388419
Dan Aykroyd,Vic Frohmeyer,tt0388419
M. Emmet Walsh,Walt Scheel,tt0388419
Elizabeth Franz,Bev Scheel,tt0388419
Erik Per Sullivan,Spike Frohmeyer,tt0388419
Cheech Marin,Officer Salino,tt0388419
Jake Busey,Officer Treen,tt0388419
Austin Pendleton,Umbrella Santa / Marty,tt0388419
Tom Poston,Father Zabriskie,tt0388419
Ron Perlman,Hellboy,tt0167190
John Hurt,"Trevor ""Broom"" Bruttenholm",tt0167190
Selma Blair,Liz Sherman,tt0167190
Rupert Evans,John Myers,tt0167190
Karel Roden,Grigori Rasputin,tt0167190
Jeffrey Tambor,Tom Manning,tt0167190
Doug Jones,Abe Sapien,tt0167190
Brian Steele,Sammael,tt0167190
Ladislav Beran,Karl Ruprecht Kroenen,tt0167190
Biddy Hodson,Ilsa Haupstein (as Bridget Hodson),tt0167190
Joaquin Phoenix,Jack Morrison,tt0349710
John Travolta,Captain Mike Kennedy,tt0349710
Jacinda Barrett,Linda Morrison,tt0349710
Robert Patrick,Lenny Richter,tt0349710
Morris Chestnut,Tommy Drake,tt0349710
Billy Burke,Dennis Gauquin,tt0349710
Balthazar Getty,Ray Gauquin,tt0349710
Tim Guinee,Tony Corrigan,tt0349710
Kevin Chapman,Frank Mckinny,tt0349710
Jay Hernandez,Keith Perez,tt0349710
Nicole Kidman,Joanna Eberhart,tt0327162
Matthew Broderick,Walter Kresby,tt0327162
Bette Midler,Bobbie Markowitz,tt0327162
Glenn Close,Claire Wellington,tt0327162
Christopher Walken,Mike Wellington,tt0327162
