1,3,4,5,6,7
Adam Drescher,Computer Daylily Guy,,,,
Christi McClintock,Daylily Fan,,,,
Keith Flippen,MC,,,,
Alison Eastwood,Iris,,,,
Kinsley Isla Dillon,Younger Ginny,,,,
Dianne Wiest,Mary,,,,
Joe Knezevich,Dave,,,,
Megan Leahy,Bartender,,,,
Taissa Farmiga,Ginny,,,,
Mackenzie Foy,Clara,,,,
Tom Sweet,Fritz,,,,
Meera Syal,Cook,,,,
Ellie Bamber,Louise,,,,
Matthew Macfadyen,Mr. Stahlbaum,,,,
Nick Mohammed,Short Butler,,,,
Charles Streeter,Tall Butler,,,,
Morgan Freeman,Drosselmeyer,,,,
Jayden Fowora-Knight,Phillip,,,,
Prince,Jingles the Horse,,,,
Helen Mirren,Mother Ginger,,,,
Omid Djalili,Cavalier,,,,
Jack Whitehall,Harlequin,,,,
Eugenio Derbez,Hawthorne,,,,
Richard E. Grant,Shiver,,,,
Denzel Washington,Robert McCall,,,,
Pedro Pascal,Dave York,,,,
Ashton Sanders,Miles Whittaker,,,,
Orson Bean,Sam Rubinstein,,,,
Bill Pullman,Brian Plummer,,,,
Melissa Leo,Susan Plummer,,,,
Jonathan Scarfe,Resnik,,,,
Sakina Jaffrey,Fatima,,,,
Kazy Tauginas,Ari,,,,
Garrett Golden,Kovac (as Garrett A. Golden),,,,
Adam Karst,Turkish Father,,,,
Alican Barlas,Dining Car Porter,,,,
Rhys Olivia Cote,Nine Year Old Braelick Girl (as Rhys Cote),,,,
Tamara Hickey,Grace Braelick,,,,
Ken Baltin,Grace Braelick's Lawyer,,,,
Michael B. Jordan,Adonis Johnson,,,,
Sylvester Stallone,Rocky Balboa,,,,
Tessa Thompson,Bianca,,,,
Phylicia Rashad,Mary Anne Creed,,,,
Dolph Lundgren,Ivan Drago,,,,
Florian Munteanu,Viktor Drago (as Florian 'Big Nasty' Munteanu),,,,
Russell Hornsby,Buddy Marcelle,,,,
Wood Harris,Tony 'Little Duke' Burton,,,,
Milo Ventimiglia,Robert Balboa,,,,
Robbie Johns,Logan Balboa,,,,
Andre Ward,Danny 'Stuntman' Wheeler,,,,
Brigitte Nielsen,Ludmilla Drago,,,,
Patrice Harris,Padman (as Patrice 'Boogey' Harris),,,,
Jacob 'Stitch' Duran,Stitch,,,,
Ana Gerena,Adrian's Waitress,,,,
Channing Tatum,Migo (voice),,,,
James Corden,Percy (voice),,,,
Zendaya,Meechee (voice),,,,
Common,Stonekeeper (voice),,,,
LeBron James,Gwangi (voice),,,,
Danny DeVito,Dorgle (voice),,,,
Gina Rodriguez,Kolka (voice),,,,
Yara Shahidi,Brenda (voice),,,,
Ely Henry,Fleem (voice),,,,
Jimmy Tatro,Thorp (voice),,,,
Patricia Heaton,Mama Bear (voice),,,,
Justin Roiland,Garry (voice),,,,
Jack Quaid,Pilot (voice),,,,
Sarah Baker,Soozie's Mom (voice),,,,
Kelly Holden Bashar,Additional Voices (voice),,,,
Constance Wu,Rachel Chu,,,,
Henry Golding,Nick Young,,,,
Michelle Yeoh,Eleanor Young,,,,
Gemma Chan,Astrid Young Teo,,,,
Lisa Lu,Ah Ma,,,,
Awkwafina,Peik Lin Goh,,,,
Harry Shum Jr.,Charlie Wu,,,,
Ken Jeong,Wye Mun Goh,,,,
Sonoya Mizuno,Araminta Lee,,,,
Chris Pang,Colin Khoo,,,,
Jimmy O. Yang,Bernard Tai,,,,
Ronny Chieng,Eddie Cheng,,,,
Remy Hii,Alistair Cheng,,,,
Nico Santos,Oliver T'sien,,,,
Jing Lusi,Amanda Ling,,,,
Alicia Vikander,Lara Croft,,,,
Dominic West,Richard Croft,,,,
Walton Goggins,Mathias Vogel,,,,
Daniel Wu,Lu Ren,,,,
Kristin Scott Thomas,Ana Miller,,,,
Derek Jacobi,Mr. Yaffe,,,,
Alexandre Willaume,Lieutenant,,,,
Tamer Burjaq,Mercenary,,,,
Adrian Collins,Mercenary,,,,
Keenan Arrison,Mercenary,,,,
Andrian Mazive,Mercenary,,,,
Milton Schorr,Mercenary,,,,
Hannah John-Kamen,Sophie,,,,
Peter Waison,Taxi Driver,,,,
Samuel Mak,Chinese Kid,,,,
Dylan O'Brien,Thomas,,,,
Ki Hong Lee,Minho,,,,
Kaya Scodelario,Teresa,,,,
Thomas Brodie-Sangster,Newt,,,,
Dexter Darden,Frypan,,,,
Will Poulter,Gally,,,,
Jacob Lofland,Aris,,,,
Rosa Salazar,Brenda,,,,
Giancarlo Esposito,Jorge,,,,
Patricia Clarkson,Ava Paige,,,,
Aidan Gillen,Janson,,,,
Barry Pepper,Vince,,,,
Nathalie Emmanuel,Harriet,,,,
Katherine McNamara,Sonya,,,,
Walton Goggins,Lawrence,,,,
John Boyega,Jake Pentecost,,,,
Scott Eastwood,Nate Lambert,,,,
Cailee Spaeny,Amara Namani,,,,
Burn Gorman,Hermann Gottlieb,,,,
Charlie Day,Dr. Newton Geiszler,,,,
Tian Jing,Liwen Shao (as Jing Tian),,,,
Jin Zhang,Marshal Quan (as Max Zhang),,,,
Adria Arjona,Jules Reyes,,,,
Rinko Kikuchi,Mako Mori,,,,
Karan Brar,Cadet Suresh,,,,
Wesley Wong,Cadet Jinhai,,,,
Ivanna Sakhno,Cadet Viktoria,,,,
Mackenyu,Cadet Ryoichi,,,,
Lily Ji,Cadet Meilin,,,,
Shyrley Rodriguez,Cadet Renata,,,,
Dwayne Johnson,Will Sawyer,,,,
Neve Campbell,Sarah Sawyer,,,,
Chin Han,Zhao Long Ji,,,,
Roland Møller,Kores Botha,,,,
Noah Taylor,Mr. Pierce,,,,
Byron Mann,Inspector Wu,,,,
Pablo Schreiber,Ben,,,,
McKenna Roberts,Georgia Sawyer,,,,
Noah Cottrell,Henry Sawyer,,,,
Hannah Quinlivan,Xia,,,,
Adrian Holmes,Ajani Okeke,,,,
Elfina Luk,Sergeant Han,,,,
Kevin Rankin,Ray,,,,
Gretal Montgomery,Ray's Wife,,,,
Jett Klyne,Ray's Son,,,,
Viggo Mortensen,Tony Lip,,,,
Mahershala Ali,Dr. Donald Shirley,,,,
Linda Cardellini,Dolores,,,,
Sebastian Maniscalco,Johnny Venere,,,,
Dimiter D. Marinov,Oleg,,,,
Mike Hatton,George,,,,
P.J. Byrne,Record Exec,,,,
Joe Cortese,Gio Loscudo,,,,
Maggie Nixon,Copa Coat Check Girl,,,,
Von Lewis,Bobby Rydell,,,,
Jon Sortland,Rydell Band Leader,,,,
Don Stark,Jules Podell,,,,
Anthony Mangano,Copa Bouncer Danny,,,,
Paul Sloan,Copa Maître D' Carmine,,,,
Quinn Duffy,Mikey Cerrone,,,,
Emily Blunt,Evelyn Abbott,,,,
John Krasinski,Lee Abbott,,,,
Millicent Simmonds,Regan Abbott,,,,
Noah Jupe,Marcus Abbott,,,,
Cade Woodward,Beau Abbott,,,,
Leon Russom,Man in the Woods,,,,
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,,,,
Rhoda Pell,Old Man's Dead Wife (uncredited),,,,
Emily Blunt,Mary Poppins,,,,
Lin-Manuel Miranda,Jack,,,,
Ben Whishaw,Michael Banks,,,,
Emily Mortimer,Jane Banks,,,,
Pixie Davies,Annabel,,,,
Nathanael Saleh,John,,,,
Joel Dawson,Georgie,,,,
Julie Walters,Ellen,,,,
Meryl Streep,Cousin Topsy,,,,
Colin Firth,Wilkins / Wolf,,,,
Jeremy Swift,Gooding / Badger,,,,
Kobna Holdbrook-Smith,Frye / Weasel,,,,
Dick Van Dyke,"Mr. Dawes, Jr.",,,,
Angela Lansbury,Balloon Lady,,,,
David Warner,Admiral Boom,,,,
James Corden,Peter Rabbit (voice),,,,
Fayssal Bazzi,Mr. Tod (voice),,,,
Domhnall Gleeson,Mr. Jeremy Fisher / Mr. Thomas McGregor,,,,
Sia,Mrs. Tiggy-Winkle (voice),,,,
Colin Moody,Benjamin Bunny (voice),,,,
Sam Neill,Old Mr. McGregor / Tommy Brock,,,,
Margot Robbie,Flopsy / The Narrator (voice),,,,
Elizabeth Debicki,Mopsy (voice),,,,
Daisy Ridley,Cotton-Tail (voice),,,,
Rose Byrne,Bea / Jemima Puddle-Duck,,,,
Christian Gazal,Felix D'eer (voice),,,,
Ewen Leslie,Pigling Bland (voice),,,,
Natalie Dew,Harrods Worker - Janelle,,,,
Terenia Edwards,Harrods Worker - Siobhan,,,,
Marianne Jean-Baptiste,General Manager (as Marianne Jean Baptiste),,,,
Tony Chiu-Wai Leung,Tu Sigu (as Tony Chiu Wai Leung),,,,
Baihe Bai,Huo Xiaolan,,,,
Boran Jing,Song Tianyin,,,,
Yuchun Li,Zhu Jinzhen,,,,
Tony Yo-ning Yang,Yun Qing,,,,
Sandra Kwan Yue Ng,,,,,
Eric Tsang,,,,,
Demián Bichir,Father Burke (as Demian Bichir),,,,
Taissa Farmiga,Sister Irene,,,,
Jonas Bloquet,Frenchie,,,,
Bonnie Aarons,The Nun,,,,
Ingrid Bisu,Sister Oana,,,,
Patrick Wilson,Ed Warren,,,,
Vera Farmiga,Lorraine Warren,,,,
Lili Taylor,Carolyn Perron,,,,
Charlotte Hope,Sister Victoria,,,,
Sandra Teles,Sister Ruth,,,,
Maria Obretin,Sister Abigail,,,,
August Maturo,Daniel,,,,
Jack Falk,Daniel,,,,
Lynnette Gaza,Mother Superior,,,,
Ani Sava,Sister Jessica,,,,
Dakota Johnson,Anastasia Steele,,,,
Jamie Dornan,Christian Grey,,,,
Eric Johnson,Jack Hyde,,,,
Eloise Mumford,Kate Kavanagh,,,,
Rita Ora,Mia Grey,,,,
Luke Grimes,Elliot Grey,,,,
Victor Rasuk,José,,,,
Max Martini,Taylor,,,,
Jennifer Ehle,Carla,,,,
Marcia Gay Harden,Grace Grey,,,,
Bruce Altman,Jerry Roach,,,,
Arielle Kebbel,Gia Matteo,,,,
Callum Keith Rennie,Ray,,,,
Robinne Lee,Ros Bailey,,,,
Brant Daugherty,Sawyer,,,,
Shameik Moore,Miles Morales (voice),,,,
Jake Johnson,Peter B. Parker (voice),,,,
Hailee Steinfeld,Gwen Stacy (voice),,,,
Mahershala Ali,Uncle Aaron (voice),,,,
Brian Tyree Henry,Jefferson Davis (voice),,,,
Lily Tomlin,Aunt May (voice),,,,
Luna Lauren Velez,Rio Morales (voice),,,,
Zoë Kravitz,Mary Jane (voice),,,,
John Mulaney,Spider-Ham (voice),,,,
Kimiko Glenn,Peni Parker (voice),,,,
Nicolas Cage,Spider-Man Noir (voice),,,,
Kathryn Hahn,Doc Ock (voice),,,,
Liev Schreiber,Wilson Fisk (voice),,,,
Chris Pine,Peter Parker (voice),,,,
Natalie Morales,Miss Calleros (voice),,,,
Alden Ehrenreich,Han Solo,,,,
Joonas Suotamo,Chewbacca,,,,
Woody Harrelson,Beckett,,,,
Emilia Clarke,Qi'ra,,,,
Donald Glover,Lando Calrissian,,,,
Thandie Newton,Val,,,,
Phoebe Waller-Bridge,L3-37,,,,
Paul Bettany,Dryden Vos,,,,
Jon Favreau,Rio Durant (voice),,,,
Erin Kellyman,Enfys Nest,,,,
Linda Hunt,Lady Proxima (voice),,,,
Ian Kenny,Rebolt,,,,
John Tui,Korso,,,,
Anna Francolini,Imperial Emigration Officer,,,,
Andrew Woodall,Imperial Recruitment Officer,,,,
Hailee Steinfeld,Charlie,,,,
Jorge Lendeborg Jr.,Memo,,,,
John Cena,Agent Burns,,,,
Jason Drucker,Otis,,,,
Pamela Adlon,Sally,,,,
Stephen Schneider,Ron,,,,
Ricardo Hoyos,Tripp,,,,
John Ortiz,Dr. Powell,,,,
Glynn Turman,General Whalen,,,,
Len Cariou,Uncle Hank,,,,
Kollin Holtz,Craig,,,,
Gracie Dzienny,Tina,,,,
Fred Dryer,Sheriff Lock,,,,
Isabelle Ellingson,Mean Girlfriend,,,,
Mika Kubo,Mean Girlfriend,,,,
Adam Sandler,Dracula (voice),,,,
Andy Samberg,Johnny (voice),,,,
Selena Gomez,Mavis (voice),,,,
Kevin James,Frankenstein (voice),,,,
Fran Drescher,Eunice (voice),,,,
Steve Buscemi,Wayne (voice),,,,
Molly Shannon,Wanda (voice),,,,
David Spade,Griffin (voice),,,,
Keegan-Michael Key,Murray (voice),,,,
Jim Gaffigan,Van Helsing (voice),,,,
Kathryn Hahn,Ericka (voice),,,,
Asher Blinkoff,Dennis (voice),,,,
Chris Parnell,Stan / Fish Man (voice),,,,
Joe Jonas,The Kraken (voice),,,,
Chrissy Teigen,Crystal (voice),,,,
John C. Reilly,Ralph (voice),,,,
Sarah Silverman,Vanellope (voice),,,,
Gal Gadot,Shank (voice),,,,
Taraji P. Henson,Yesss (voice),,,,
Jack McBrayer,Felix (voice),,,,
Jane Lynch,Calhoun (voice),,,,
Alan Tudyk,KnowsMore (voice),,,,
Alfred Molina,Double Dan (voice),,,,
Ed O'Neill,Mr. Litwak (voice),,,,
Sean Giambrone,The Eboy (voice),,,,
Flula Borg,Maybe (voice),,,,
Timothy Simons,Butcher Boy (voice),,,,
Ali Wong,Felony (voice),,,,
Hamish Blake,Pyro (voice),,,,
GloZell Green,Little Debbie (voice),,,,
Jason Statham,Jonas Taylor,,,,
Bingbing Li,Suyin (as Li Bingbing),,,,
Rainn Wilson,Morris,,,,
Cliff Curtis,Mac,,,,
Winston Chao,Zhang,,,,
Shuya Sophia Cai,Meiying (as Sophia Cai),,,,
Ruby Rose,Jaxx,,,,
Page Kennedy,DJ,,,,
Robert Taylor,Heller,,,,
Ólafur Darri Ólafsson,The Wall,,,,
Jessica McNamee,Lori,,,,
Masi Oka,Toshi,,,,
Raymond Vinten,Dive Control Technician,,,,
Hongmei Mai,Mother (as Mai Hongmei),,,,
Wei Yi,Awesome Kid on Beach,,,,
Haoran Liu,Qin Feng / Chin Fong,,,,
Baoqiang Wang,Tang Ren,,,,
Yang Xiao,Song Yi,,,,
Natasha Liu Bordizzo,Chen Ying,,,,
Yuxian Shang,Kiko,,,,
Xun Wang,Lu Guofu,,,,
Satoshi Tsumabuki,Noda Hiroshi,,,,
Michael Pitt,Dr. James Springfield,,,,
Bai Ling,Aaimali Kunara,,,,
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,,,,
James Edward Alexander,Choir Member #10,,,,
Brett Azar,Wild Bull Billy,,,,
Inga Ballard,Choir Member #4,,,,
Spelman M. Beaubrun,Choir Member #13,,,,
Rick Bolander,EMT,,,,
Yi Zhang,Yang Rui,,,,
Johnny Huang,Gu Shun (as Huang Jingyu),,,,
Hai-Qing,Xia Nan,,,,
Jiang Du,Xu Hong,,,,
Luxia Jiang,Tong Li,,,,
Sanâa Alaoui,Ina,,,,
Fang Yin,Li Dong,,,,
Yutian Wang,Zhang Tiande,,,,
Jiahao Guo,Lu Chen (as Guo Yubin),,,,
Henry Prince Mak,Zhuang Yu (as Henry Mai),,,,
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,,,,
Noureddine Aberdine,Executionner,,,,
Nisrine Adam,Yuna,,,,
Khalid Benchagra,Dr. William Parsons,,,,
Jacky Cai,Drone pilot (as Cai Jie),,,,
Tye Sheridan,Parzival / Wade,,,,
Olivia Cooke,Art3mis / Samantha,,,,
Ben Mendelsohn,Sorrento,,,,
Lena Waithe,Aech / Helen,,,,
T.J. Miller,I-R0k,,,,
Simon Pegg,Curator / Ogden Morrow,,,,
Mark Rylance,Anorak / Halliday,,,,
Philip Zhao,Sho,,,,
Win Morisaki,Daito,,,,
Hannah John-Kamen,F'Nale Zandor,,,,
Ralph Ineson,Rick,,,,
Susan Lynch,Alice,,,,
Clare Higgins,Mrs. Gilmore,,,,
Laurence Spellman,Lame Tattoo Guy (Reb),,,,
Perdita Weeks,Kira,,,,
Paul Rudd,Scott Lang / Ant-Man,,,,
Evangeline Lilly,Hope Van Dyne / Wasp,,,,
Michael Peña,Luis,,,,
Walton Goggins,Sonny Burch,,,,
Bobby Cannavale,Paxton,,,,
Judy Greer,Maggie,,,,
T.I.,Dave (as Tip 'T.I.' Harris),,,,
David Dastmalchian,Kurt,,,,
Hannah John-Kamen,Ava / Ghost,,,,
Abby Ryder Fortson,Cassie,,,,
Randall Park,Jimmy Woo,,,,
Michelle Pfeiffer,Janet Van Dyne / Wasp,,,,
Laurence Fishburne,Dr. Bill Foster,,,,
Michael Douglas,Dr. Hank Pym,,,,
Divian Ladwa,Uzman,,,,
Johnny Depp,Grindelwald,,,,
Kevin Guthrie,Abernathy,,,,
Carmen Ejogo,Seraphina Picquery,,,,
Wolf Roth,Spielman,,,,
Eddie Redmayne,Newt Scamander,,,,
Zoë Kravitz,Leta Lestrange,,,,
Callum Turner,Theseus Scamander,,,,
Derek Riddell,Torquil Travers,,,,
Cornell John,Arnold Guzman (as Cornell S. John),,,,
Ezra Miller,Credence Barebone,,,,
Ingvar Sigurdsson,Grimmson,,,,
Poppy Corby-Tuech,Rosier,,,,
Andrew Turner,MacDuff,,,,
Maja Bloom,Carrow,,,,
Simon Meacock,Krafft,,,,
Ryan Reynolds,Wade Wilson / Deadpool / Voice of Juggernaut,,,,
Josh Brolin,Cable,,,,
Morena Baccarin,Vanessa,,,,
Julian Dennison,Firefist,,,,
Zazie Beetz,Domino,,,,
T.J. Miller,Weasel,,,,
Leslie Uggams,Blind Al,,,,
Karan Soni,Dopinder,,,,
Brianna Hildebrand,Negasonic Teenage Warhead,,,,
Jack Kesy,Black Tom,,,,
Eddie Marsan,Headmaster,,,,
Shioli Kutsuna,Yukio,,,,
Stefan Kapicic,Colossus (voice),,,,
Randal Reeder,Buck,,,,
Nikolai Witschl,Head Orderly Frye,,,,
Tom Cruise,Ethan Hunt,,,,
Henry Cavill,August Walker,,,,
Ving Rhames,Luther Stickell,,,,
Simon Pegg,Benji Dunn,,,,
Rebecca Ferguson,Ilsa Faust,,,,
Sean Harris,Solomon Lane,,,,
Angela Bassett,Erika Sloane,,,,
Vanessa Kirby,The White Widow,,,,
Michelle Monaghan,Julia,,,,
Wes Bentley,Erik,,,,
Frederick Schmidt,Zola,,,,
Alec Baldwin,Alan Hunley,,,,
Liang Yang,Lark Decoy,,,,
Kristoffer Joner,Nils Debruuk,,,,
Wolf Blitzer,Wolf Blitzer,,,,
Rami Malek,Freddie Mercury,,,,
Lucy Boynton,Mary Austin,,,,
Gwilym Lee,Brian May,,,,
Ben Hardy,Roger Taylor,,,,
Joseph Mazzello,John Deacon (as Joe Mazzello),,,,
Aidan Gillen,John Reid,,,,
Allen Leech,Paul Prenter,,,,
Tom Hollander,Jim Beach,,,,
Mike Myers,Ray Foster,,,,
Aaron McCusker,Jim Hutton,,,,
Meneka Das,Jer Bulsara,,,,
Ace Bhatti,Bomi Bulsara,,,,
Priya Blackburn,Kashmira Bulsara,,,,
Dermot Murphy,Bob Geldof,,,,
Dickie Beau,Kenny Everett,,,,
Jason Momoa,Arthur,,,,
Amber Heard,Mera,,,,
Willem Dafoe,Vulko,,,,
Patrick Wilson,King Orm,,,,
Nicole Kidman,Atlanna,,,,
Dolph Lundgren,King Nereus,,,,
Yahya Abdul-Mateen II,Manta,,,,
Temuera Morrison,Tom Curry,,,,
Ludi Lin,Captain Murk,,,,
Michael Beach,Jesse (Manta's Father),,,,
Randall Park,Dr. Stephen Shin,,,,
Graham McTavish,King Atlan,,,,
Leigh Whannell,Cargo Pilot,,,,
Tainui Kirkwood,Young Arthur (Three Years Old),,,,
Tamor Kirkwood,Young Arthur (Three Years Old),,,,
Craig T. Nelson,Bob Parr / Mr. Incredible (voice),,,,
Holly Hunter,Helen Parr / Elastigirl (voice),,,,
Sarah Vowell,Violet Parr (voice),,,,
Huck Milner,Dashiell Parr (Dash) (voice) (as Huckleberry Milner),,,,
Catherine Keener,Evelyn Deavor (voice),,,,
Eli Fucile,Jack-Jack Parr (voice),,,,
Bob Odenkirk,Winston Deavor (voice),,,,
Samuel L. Jackson,Lucius Best / Frozone (voice),,,,
Michael Bird,Tony Rydinger (voice),,,,
Sophia Bush,Voyd (voice),,,,
Brad Bird,Edna Mode (E) (voice),,,,
Phil LaMarr,Krushauer / Helectrix (voice),,,,
Isabella Rossellini,Ambassador (voice),,,,
Adam Gates,Chad Brentley (voice),,,,
Jonathan Banks,Rick Dicker (voice),,,,
Chris Pratt,Owen Grady,,,,
Bryce Dallas Howard,Claire Dearing,,,,
Rafe Spall,Eli Mills,,,,
Justice Smith,Franklin Webb,,,,
Daniella Pineda,Zia Rodriguez,,,,
James Cromwell,Benjamin Lockwood,,,,
Toby Jones,Mr. Eversoll,,,,
Ted Levine,Ken Wheatley,,,,
Jeff Goldblum,Ian Malcolm,,,,
BD Wong,Dr. Wu,,,,
Geraldine Chaplin,Iris,,,,
Isabella Sermon,Maisie Lockwood,,,,
Robert Emms,Tech Merc,,,,
Peter Jason,Senator Sherwood,,,,
Kevin Layne,Sub Pilot,,,,
Chadwick Boseman,T'Challa / Black Panther,,,,
Michael B. Jordan,Erik Killmonger,,,,
Lupita Nyong'o,Nakia,,,,
Danai Gurira,Okoye,,,,
Martin Freeman,Everett K. Ross,,,,
Daniel Kaluuya,W'Kabi,,,,
Letitia Wright,Shuri,,,,
Winston Duke,M'Baku,,,,
Sterling K. Brown,N'Jobu,,,,
Angela Bassett,Ramonda,,,,
Forest Whitaker,Zuri,,,,
Andy Serkis,Ulysses Klaue,,,,
Florence Kasumba,Ayo,,,,
John Kani,T'Chaka,,,,
David S. Lee,Limbani,,,,
Robert Downey Jr.,Tony Stark / Iron Man,,,,
Chris Hemsworth,Thor,,,,
Mark Ruffalo,Bruce Banner / Hulk,,,,
Chris Evans,Steve Rogers / Captain America,,,,
Scarlett Johansson,Natasha Romanoff / Black Widow,,,,
Don Cheadle,James Rhodes / War Machine,,,,
Benedict Cumberbatch,Doctor Strange,,,,
Tom Holland,Peter Parker / Spider-Man,,,,
Chadwick Boseman,T'Challa / Black Panther,,,,
Zoe Saldana,Gamora,,,,
Karen Gillan,Nebula,,,,
Tom Hiddleston,Loki,,,,
Paul Bettany,Vision,,,,
Elizabeth Olsen,Wanda Maximoff / Scarlet Witch,,,,
Anthony Mackie,Sam Wilson / Falcon,,,,
Margot Robbie,Tonya,,,,
Sebastian Stan,Jeff,,,,
Allison Janney,LaVona,,,,
Julianne Nicholson,Diane Rawlinson,,,,
Paul Walter Hauser,Shawn,,,,
Bobby Cannavale,Martin Maddox,,,,
Bojana Novakovic,Dody Teachman,,,,
Caitlin Carver,Nancy Kerrigan,,,,
Maizie Smith,Tonya (3 1 / 2 Yrs),,,,
Mckenna Grace,Tonya (8-12 Yrs),,,,
Suehyla El-Attar,Skater Mom,,,,
Jason Davis,Al,,,,
Mea Allen,Snooty Girl,,,,
Cory Chapman,Chris,,,,
Amy Fox,Skating Judge,,,,
Matt Damon,Paul Safranek,,,,
Christoph Waltz,Dusan Mirkovic,,,,
Hong Chau,Ngoc Lan Tran,,,,
Kristen Wiig,Audrey Safranek,,,,
Rolf Lassgård,Dr. Jorgen Asbjørnsen,,,,
Ingjerd Egeberg,Anne-Helene Asbjørnsen,,,,
Udo Kier,Konrad,,,,
Søren Pilmark,Dr. Andreas Jacobsen,,,,
Jason Sudeikis,Dave Johnson,,,,
Maribeth Monroe,Carol Johnson,,,,
Jayne Houdyshell,Paul's Mother,,,,
Phil Reeves,Audrey's Dad Larry,,,,
James Van Der Beek,Anesthesiologist,,,,
Alison J. Palmer,Anesthesiologist's Wife,,,,
Tim Driscoll,Good Friend Tim (as Timothy Edmund Driscoll),,,,
Hyun Bin,Lim Cheol-ryung,,,,
Hae-jin Yoo,Kang Jin-tae,,,,
Ju-hyuk Kim,Cha Gi-sung,,,,
Hae-Young Lee,Detective Squad Chief Pyo,,,,
Young-nam Jang,So-yeon,,,,
Yoona,Park Min-young (as Yoon-a Lim),,,,
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,,,,
Jeong-hwan Kong,Sung Kang,,,,
Dong-hwi Lee,Park Myung-ho (as Dong-Hwi Lee),,,,
Dash You,Building reception man,,,,
Kumail Nanjiani,Kumail,,,,
Zoe Kazan,Emily,,,,
Holly Hunter,Beth,,,,
Ray Romano,Terry,,,,
Anupam Kher,Azmat,,,,
Zenobia Shroff,Sharmeen,,,,
Adeel Akhtar,Naveed,,,,
Bo Burnham,CJ,,,,
Aidy Bryant,Mary,,,,
Kurt Braunohler,Chris,,,,
Vella Lovell,Khadija,,,,
Myra Lucretia Taylor,Nurse Judy,,,,
Jeremy Shamos,Bob Dalavan,,,,
David Alan Grier,Andy Dodd,,,,
Ed Herbstman,Sam Highsmith,,,,
Michelle Williams,Gail Harris,,,,
Christopher Plummer,J. Paul Getty,,,,
Mark Wahlberg,Fletcher Chace,,,,
Romain Duris,Cinquanta,,,,
Timothy Hutton,Oswald Hinge,,,,
Charlie Plummer,John Paul Getty III,,,,
Charlie Shotwell,John Paul Getty III (Age 7),,,,
Andrew Buchan,John Paul Getty II,,,,
Marco Leonardi,Mammoliti,,,,
Giuseppe Bonifati,Giovanni Iacovoni,,,,
Nicolas Vaporidis,Il Tamia 'Chipmunk',,,,
Andrea Piedimonte Bodini,Corvo (as Andrea Piedimonte),,,,
Guglielmo Favilla,Piccolino,,,,
Nicola Di Chio,Kidnap Van Driver,,,,
Adele Tirante,Prostitute Maria,,,,
Uzo Aduba,Queen Novo (voice),,,,
Ashleigh Ball,Applejack / Rainbow Dash (voice),,,,
Adam Bengis,Code Red (voice),,,,
Emily Blunt,Tempest Shadow / Fizzlepop Berrytwist (voice),,,,
Kristin Chenoweth,Princess Skystar (voice),,,,
Michelle Creber,Applebloom (voice),,,,
Taye Diggs,Capper (voice),,,,
Brian Dobson,Verko / Additional Voices (voice),,,,
Michael Dobson,Bulk Biceps / Canterlot & Klugetown Featured Voices (voice),,,,
Andrea Libman,Fluttershy / Pinkie Pie (voice),,,,
Max Martini,Boyle (voice),,,,
Britt McKillip,Princess Cadance (voice),,,,
Peter New,Big Mac / Klugetown Featured Voices (voice),,,,
Mark Oliver,First Mate Mullet (voice),,,,
Nicole Oliver,Princess Celestia / Lix Spittle / Klugetown Featured Voices (voice),,,,
Amy Schumer,Emily Middleton,,,,
Kim Caramele,Shopper,,,,
Raven Goodwin,Lew,,,,
Katie Dippold,Shopper,,,,
Randall Park,Michael,,,,
Goldie Hawn,Linda Middleton,,,,
Ike Barinholtz,Jeffrey Middleton,,,,
Luis R. Espinoza,Taxi Driver,,,,
Luis F. Ramirez,Man with Tray,,,,
Daniel Bess,Front Desk Clerk,,,,
Wanda Sykes,Ruth,,,,
Joan Cusack,Barb,,,,
Moani Hara,Hot Woman,,,,
Tom Bateman,James,,,,
Fidel Salcido,Beach Bartender,,,,
Amandla Stenberg,Maddy,,,,
Nick Robinson,Olly,,,,
Anika Noni Rose,Pauline,,,,
Ana de la Reguera,Carla,,,,
Taylor Hickson,Kayra,,,,
Danube Hermosillo,Rosa (as Danube R. Hermosillo),,,,
Dan Payne,Joe,,,,
Fiona Loewi,Mae,,,,
Sage Brocklebank,Astronaut,,,,
Robert Lawrenson,Mr. Waterman,,,,
Peter Benson,Dr. Chase,,,,
Françoise Yip,Dr. Francis,,,,
Farryn VanHumbeck,Ruby,,,,
Marion Eisman,Nurse Janet,,,,
Allison Riley,Police Officer #1,,,,
Eugenio Derbez,Maximo,,,,
Salma Hayek,Sara,,,,
Raphael Alejandro,Hugo,,,,
Rob Lowe,Rick,,,,
Kristen Bell,Cindy,,,,
Mckenna Grace,Arden,,,,
Raquel Welch,Celeste,,,,
Linda Lavin,Millicent,,,,
Renée Taylor,Peggy,,,,
Rob Corddry,Quincy,,,,
Rob Riggle,Scott,,,,
Rob Huebel,Nick,,,,
Michael Cera,Remy,,,,
Mather Zickel,James,,,,
Vadhir Derbez,Maximo (Age 21),,,,
Steven Yeun,Bo (voice),,,,
Keegan-Michael Key,Dave (voice),,,,
Aidy Bryant,Ruth (voice),,,,
