,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
1529,"Jesse Eisenberg, Woody Harrelson, Emma Stone, Abigail Breslin",9 wins & 28 nominations.,"$75,590,286",USA,02 Feb 2010,Ruben Fleischer,,"Adventure, Comedy, Horror, Sci-Fi",English,73,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",https://m.media-amazon.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_SX300.jpg,Sony/Columbia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",02 Oct 2009,True,88 min,Zombieland,movie,http://www.zombieland.com/,"Rhett Reese, Paul Wernick",2009,tt1156398,7.6,"463,859",
1530,"Matthew McConaughey, Jennifer Garner, Michael Douglas, Breckin Meyer",1 win.,"$55,179,308",USA,22 Sep 2009,Mark Waters,,"Comedy, Fantasy, Romance","English, Japanese, Chinese, Spanish",34,"While attending his brother's wedding, a serial womanizer is haunted by the ghosts of his past girlfriends.",https://m.media-amazon.com/images/M/MV5BMTA0Njk2NTIyMTVeQTJeQWpwZ15BbWU3MDU0MzUyMzI@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",01 May 2009,True,100 min,Ghosts of Girlfriends Past,movie,http://www.ghostsofgirlfriendspastmovie.com/,"Jon Lucas, Scott Moore",2009,tt0821640,5.8,"78,284",
1531,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1532,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1533,"Max Records, Pepita Emmerichs, Max Pfeifer, Madeleine Greaves",Nominated for 1 Golden Globe. Another 7 wins & 53 nominations.,"$77,222,184","Germany, Australia, USA",02 Mar 2010,Spike Jonze,,"Adventure, Drama, Family, Fantasy",English,71,"Yearning for escape and adventure, a young boy runs away from home and sails to an island filled with creatures that take him in as their king.",https://m.media-amazon.com/images/M/MV5BNzQ1NzAwODEwM15BMl5BanBnXkFtZTcwNTE4MjI4Mg@@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",16 Oct 2009,True,101 min,Where the Wild Things Are,movie,http://www.wherethewildthingsare.com/,"Spike Jonze (screenplay), Dave Eggers (screenplay), Maurice Sendak (book)",2009,tt0386117,6.8,"96,748",
1534,"John Travolta, Robin Williams, Kelly Preston, Conner Rayburn",5 nominations.,"$49,474,048",USA,09 Mar 2010,Walt Becker,,"Comedy, Family","English, Ukrainian",19,Two friends and business partners find their lives turned upside down when strange circumstances lead them to be the temporary guardians of seven year-old twins.,https://m.media-amazon.com/images/M/MV5BMjExMTYyMzk3MV5BMl5BanBnXkFtZTcwMzI2Njg0Mg@@._V1_SX300.jpg,Walt Disney Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '5%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",25 Nov 2009,True,88 min,Old Dogs,movie,http://www.Disney.com/OldDogs,"David Diamond, David Weissman",2009,tt0976238,5.4,"34,609",
1535,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1536,"Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci",Nominated for 1 Oscar. Another 10 wins & 45 nominations.,"$43,982,842","USA, UK, New Zealand",20 Apr 2010,Peter Jackson,,"Drama, Fantasy, Thriller",English,42,Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.,https://m.media-amazon.com/images/M/MV5BMjAwNDA1MTM2MF5BMl5BanBnXkFtZTcwMzg3NDcwMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",15 Jan 2010,True,135 min,The Lovely Bones,movie,http://www.lovelybones.com/,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Alice Sebold (novel)",2009,tt0380510,6.7,"146,608",
1537,"Paul Rudd, Rashida Jones, Sarah Burns, Greg Levine",1 win & 8 nominations.,"$71,300,000",USA,11 Aug 2009,John Hamburg,,"Comedy, Romance",English,70,"Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?",https://m.media-amazon.com/images/M/MV5BMTU4MjI5NTEyNV5BMl5BanBnXkFtZTcwNjQ1NTMzMg@@._V1_SX300.jpg,Dreamworks/Paramount,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",20 Mar 2009,True,105 min,"I Love You, Man",movie,http://www.iloveyouman.com/,"John Hamburg (screenplay), Larry Levin (screenplay), Larry Levin (story)",2009,tt1155056,7.0,"186,078",
1538,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1539,"Michael Sheen, Bill Nighy, Rhona Mitra, Steven Mackintosh",N/A,"$45,802,315","USA, New Zealand",12 May 2009,Patrick Tatopoulos,,"Action, Adventure, Fantasy, Sci-Fi, Thriller",English,44,"An origins story centered on the centuries-old feud between the race of aristocratic vampires and their onetime slaves, the Lycans.",https://m.media-amazon.com/images/M/MV5BMTg1OTU5ODc0MV5BMl5BanBnXkFtZTcwNDYyMDUwMg@@._V1_SX300.jpg,Sony Pictures/Screen Gems,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",23 Jan 2009,True,92 min,Underworld: Rise of the Lycans,movie,http://www.entertheunderworld.com/,"Danny McBride (screenplay), Dirk Blackman (screenplay), Howard McCain (screenplay), Len Wiseman (story), Robert Orr (story), Danny McBride (story), Kevin Grevioux (characters), Len Wiseman (characters), Danny McBride (characters)",2009,tt0834001,6.6,"142,861",
1540,"Alison Lohman, Justin Long, Lorna Raver, Dileep Rao",7 wins & 22 nominations.,"$42,100,000",USA,13 Oct 2009,Sam Raimi,,"Horror, Thriller","English, Spanish, Hungarian, Czech",83,"A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point.",https://m.media-amazon.com/images/M/MV5BMTQwNTMyNjc5Ml5BMl5BanBnXkFtZTcwOTI2MTQ0Mg@@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",29 May 2009,True,99 min,Drag Me to Hell,movie,http://www.dragmetohell.net/,"Sam Raimi, Ivan Raimi",2009,tt1127180,6.6,"177,756",
1541,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1542,"Russell Crowe, Ben Affleck, Rachel McAdams, Helen Mirren",2 wins & 4 nominations.,"$36,965,395","USA, UK, France",01 Sep 2009,Kevin Macdonald,,"Crime, Drama, Mystery, Thriller","English, Cantonese",64,"When a congressional aide is killed, a Washington D.C. journalist starts investigating the case involving the congressman, his old college friend.",https://m.media-amazon.com/images/M/MV5BMTI1MTQ4MDIwMl5BMl5BanBnXkFtZTcwNzgxOTc0Mg@@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",17 Apr 2009,True,127 min,State of Play,movie,http://www.stateofplaymovie.net/,"Matthew Michael Carnahan (screenplay), Tony Gilroy (screenplay), Billy Ray (screenplay), Paul Abbott (television series)",2009,tt0473705,7.1,"127,564",
1543,"Hugh Grant, Sarah Jessica Parker, Natalia Klimas, Vincenzo Amato",1 nomination.,"$29,580,087",USA,16 Mar 2010,Marc Lawrence,,"Comedy, Drama, Romance","English, Ukrainian, French, Italian, Spanish",27,"In New York City, an estranged couple who witness a murder are relocated to small town Wyoming as part of the Witness Protection Program.",https://m.media-amazon.com/images/M/MV5BMjUzMDY0NDYzN15BMl5BanBnXkFtZTcwNjgxMDI5Mg@@._V1_SX300.jpg,Sony Pictures/Columbia,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",18 Dec 2009,True,103 min,Did You Hear About the Morgans?,movie,http://www.didyouhearaboutthemorgans.com/,Marc Lawrence,2009,tt1314228,4.8,"35,047",
1544,"Clive Owen, Julia Roberts, Tom Wilkinson, Paul Giamatti",Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,"$40,559,930","USA, Germany",25 Aug 2009,Tony Gilroy,,"Comedy, Crime, Romance, Thriller","English, Spanish, Russian, German",69,"Two ex-government agents turned rival industrial spies have to be at the top of their game when one of their companies prepares to launch a major product. However, they distract each other in more ways than one.",https://m.media-amazon.com/images/M/MV5BMjE2MTg2MzU2NF5BMl5BanBnXkFtZTcwMTMyNjkxMg@@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",20 Mar 2009,True,125 min,Duplicity,movie,N/A,Tony Gilroy,2009,tt1135487,6.2,"45,339",
1545,"Virginia Madsen, Kyle Gallner, Elias Koteas, Amanda Crew",1 win & 2 nominations.,"$55,325,526","USA, Canada",14 Jul 2009,Peter Cornwell,,"Drama, Horror, Mystery, Thriller",English,33,"After a family is forced to relocate for their son's health, they begin experiencing supernatural behavior in their new home, and uncover a sinister history.",https://m.media-amazon.com/images/M/MV5BMjE0NDU1NzY0OV5BMl5BanBnXkFtZTcwOTY4NTczMg@@._V1_SX300.jpg,Lionsgate,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",27 Mar 2009,True,92 min,The Haunting in Connecticut,movie,http://hauntinginconnecticut.com/,"Adam Simon, Tim Metcalfe",2009,tt0492044,5.9,"56,697",
1546,N/A,N/A,N/A,Italy,N/A,Blu,,Short,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,True,1 min,Fame 2009,movie,N/A,N/A,2009,tt4521626,N/A,N/A,
1547,"Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder",1 win & 7 nominations.,"$41,472,886","USA, Canada, Germany",27 Oct 2009,Jaume Collet-Serra,,"Horror, Mystery, Thriller","English, American Sign Language, Estonian",42,A husband and wife who recently lost their baby adopt a 9 year-old girl who is not nearly as innocent as she claims to be.,https://m.media-amazon.com/images/M/MV5BMTBjMjY0ODEtZGVkMy00MjUyLTlkMjAtNDBmNzVjOTk0NzQyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",24 Jul 2009,True,123 min,Orphan,movie,http://orphan-movie.warnerbros.com/,"David Leslie Johnson-McGoldrick (screenplay), Alex Mace (story)",2009,tt1148204,7.0,"176,737",
1548,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1549,"Steve Martin, Jean Reno, Emily Mortimer, Andy Garcia",3 nominations.,"$35,922,978",USA,23 Jun 2009,Harald Zwart,,"Action, Adventure, Comedy, Crime, Family, Mystery","English, French, Spanish, Italian",36,Insp. Jacques Clouseau teams up with a squad of International detectives who are just as bumbling as he is. Their mission: Stop a globe-trotting thief who specializes in stealing historical artifacts.,https://m.media-amazon.com/images/M/MV5BMTIyOTI2ODY2MF5BMl5BanBnXkFtZTcwMzU2MTYxMg@@._V1_SX300.jpg,Sony Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",06 Feb 2009,True,92 min,The Pink Panther 2,movie,http://www.sonypictures.com/movies/thepinkpanther2/,"Scott Neustadter (screenplay), Michael H. Weber (screenplay), Steve Martin (screenplay), Scott Neustadter (story), Michael H. Weber (story), Maurice Richlin (characters), Blake Edwards (characters)",2009,tt0838232,5.6,"39,574",
1550,"Idris Elba, Beyoncé, Ali Larter, Jerry O'Connell",4 wins & 8 nominations.,"$68,261,644",USA,04 Aug 2009,Steve Shill,,"Drama, Thriller",English,25,"A successful asset manager, who has just received a huge promotion, is blissfully happy in his career and in his marriage. But when a temp worker starts stalking him, all the things he's worked so hard for are placed in jeopardy.",https://m.media-amazon.com/images/M/MV5BMjAwOTM2MzE5MF5BMl5BanBnXkFtZTcwMjM0NTcyMg@@._V1_SX300.jpg,Sony/Screen Gems,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",24 Apr 2009,True,108 min,Obsessed,movie,http://www.sonypictures.com/movies/obsessed/,David Loughery,2009,tt1198138,4.9,"27,209",
1551,"Adam Sandler, Seth Rogen, Leslie Mann, Eric Bana",3 nominations.,"$51,814,190",USA,24 Nov 2009,Judd Apatow,,"Comedy, Drama",English,60,"When seasoned comedian George Simmons learns of his terminal, inoperable health condition, his desire to form a genuine friendship causes him to take a relatively green performer under his wing as his opening act.",https://m.media-amazon.com/images/M/MV5BNWU0ZDllZWEtNWI4ZC00YjIzLTk3YjMtZmE0MmFiNzg4MmRlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",31 Jul 2009,True,146 min,Funny People,movie,http://www.funnypeoplemovie.com/,Judd Apatow,2009,tt1201167,6.3,"109,346",
1552,"Cindy Jourdain, Adam Kirkham, Sarah Robinson",N/A,N/A,UK,N/A,"Michael Nunn, William Trevitt",,Short,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,True,N/A,Departures,movie,N/A,N/A,2009,tt3748520,N/A,N/A,
1553,"George Clooney, Ewan McGregor, Jeff Bridges, Kevin Spacey",1 win & 1 nomination.,"$32,400,000","USA, UK",23 Mar 2010,Grant Heslov,,"Comedy, War","English, Arabic",54,"A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",https://m.media-amazon.com/images/M/MV5BMjIwOTQwNzg1MV5BMl5BanBnXkFtZTcwODc4MDU4Mg@@._V1_SX300.jpg,Overture Films,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",06 Nov 2009,True,94 min,The Men Who Stare at Goats,movie,http://www.themenwhostareatgoatsmovie.com/,"Jon Ronson (inspired by the book), Peter Straughan (screenplay)",2009,tt1234548,6.2,"121,865",
1554,"Will Ferrell, Anna Friel, Danny McBride, Jorma Taccone",2 wins & 9 nominations.,"$49,392,095",USA,13 Oct 2009,Brad Silberling,,"Action, Adventure, Comedy, Sci-Fi",English,32,"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.",https://m.media-amazon.com/images/M/MV5BOTkzNDg2OTc1NF5BMl5BanBnXkFtZTcwNDcxODE2Mg@@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",05 Jun 2009,True,102 min,Land of the Lost,movie,http://www.landofthelost.net/,"Chris Henchy, Dennis McNicholas, Sid Krofft (television series), Marty Krofft (television series)",2009,tt0457400,5.4,"60,694",
1555,"Tobin Bell, Costas Mandylor, Mark Rolston, Betsy Russell",2 nominations.,"$27,669,413","Canada, USA, UK, Australia",26 Jan 2010,Kevin Greutert,,"Horror, Mystery, Thriller",English,30,"Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw.",https://m.media-amazon.com/images/M/MV5BMTU0NDA3MTM4M15BMl5BanBnXkFtZTcwOTY4Njg3Mg@@._V1_SX300.jpg,Lionsgate,R,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",23 Oct 2009,True,90 min,Saw VI,movie,http://saw6film.com/,"Patrick Melton (screenplay), Marcus Dunstan (screenplay)",2009,tt1233227,6.0,"94,052",
1556,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1557,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1558,"Jack Black, Michael Cera, Oliver Platt, David Cross",1 nomination.,"$43,337,279",USA,06 Oct 2009,Harold Ramis,,"Adventure, Comedy",English,34,"After being banished from their tribe, two hunter-gatherers encounter Biblical characters and eventually wind up in the city of Sodom.",https://m.media-amazon.com/images/M/MV5BMTcyMjI2OTgxN15BMl5BanBnXkFtZTcwODU3ODkzMg@@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",19 Jun 2009,True,97 min,Year One,movie,http://www.yearone-movie.com/,"Harold Ramis (screenplay), Gene Stupnitsky (screenplay), Lee Eisenberg (screenplay), Harold Ramis (story)",2009,tt1045778,4.9,"86,549",
1559,"Andrew Garfield, Christopher Plummer, Richard Riddell, Katie Lyons",Nominated for 2 Oscars. Another 5 wins & 21 nominations.,"$7,504,196","UK, France, Canada",27 Apr 2010,Terry Gilliam,,"Adventure, Comedy, Fantasy, Mystery","English, Russian, French",65,A traveling theater company gives its audience much more than they were expecting.,https://m.media-amazon.com/images/M/MV5BMTY4Njg4NTA3Nl5BMl5BanBnXkFtZTcwNzYxMzg5Mg@@._V1_SX300.jpg,Sony Pictures Classics,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",08 Jan 2010,True,123 min,The Imaginarium of Doctor Parnassus,movie,http://www.sonyclassics.com/theimaginariumofdoctorparnassus/,"Terry Gilliam, Charles McKeown",2009,tt1054606,6.8,"139,009",
1560,"Rain, Joon Lee, Jonathan Chan-Pensley, Ill-Young Kim",N/A,"$38,105,077","Germany, USA",16 Mar 2010,James McTeigue,,"Action, Thriller",English,34,"A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.",https://m.media-amazon.com/images/M/MV5BMTcxNDYzMjU1Ml5BMl5BanBnXkFtZTcwMTYzOTM3Mg@@._V1_SX300.jpg,Warner Bros. Pictures/Dark Castle Ent.,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",25 Nov 2009,True,99 min,Ninja Assassin,movie,http://www.Ninja-Assassin-Movie.com,"Matthew Sand (screenplay), J. Michael Straczynski (screenplay), Matthew Sand (story)",2009,tt1186367,6.4,"64,981",
1561,"Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz",Nominated for 2 Golden Globes. Another 17 wins & 54 nominations.,"$32,118,648",USA,22 Dec 2009,Marc Webb,,"Comedy, Drama, Romance","English, French, Swedish",76,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",https://m.media-amazon.com/images/M/MV5BMTk5MjM4OTU1OV5BMl5BanBnXkFtZTcwODkzNDIzMw@@._V1_SX300.jpg,Fox Searchlight Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",07 Aug 2009,True,95 min,500 Days of Summer,movie,http://www.foxsearchlight.com/500daysofsummer/,"Scott Neustadter, Michael H. Weber",2009,tt1022603,7.7,"443,494",
1562,"Clive Owen, Naomi Watts, Armin Mueller-Stahl, Ulrich Thomsen",1 nomination.,"$25,450,527","USA, Germany, UK, France",09 Jun 2009,Tom Tykwer,,"Action, Crime, Drama, Mystery, Thriller","English, Italian, French, Danish",52,An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.,https://m.media-amazon.com/images/M/MV5BMjE3Njg5NzY2OV5BMl5BanBnXkFtZTcwMDMxNjEwMg@@._V1_SX300.jpg,Sony Pictures/Columbia,R,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",13 Feb 2009,True,118 min,The International,movie,http://www.everybodypays.com/,Eric Warren Singer,2009,tt0963178,6.5,"87,263",
1563,"Carter Jenkins, Austin Butler, Ashley Tisdale, Ashley Boettcher",2 nominations.,"$24,967,943","USA, Canada",03 Nov 2009,John Schultz,,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,42,A group of kids must protect their vacation home from invading aliens.,https://m.media-amazon.com/images/M/MV5BMTk3NTMzNTIxNV5BMl5BanBnXkFtZTcwOTI4ODU1Mg@@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",31 Jul 2009,True,86 min,Aliens in the Attic,movie,http://www.aliensintheatticmovie.com/,"Mark Burton (screenplay), Adam F. Goldberg (screenplay), Mark Burton (story)",2009,tt0775552,5.4,"19,504",
1564,"Justin Chatwin, Yun-Fat Chow, Emmy Rossum, Jamie Chung",1 nomination.,"$9,353,573","USA, Hong Kong, UK",28 Jul 2009,James Wong,,"Action, Adventure, Fantasy, Sci-Fi, Thriller","English, Japanese, Hindi",45,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",https://m.media-amazon.com/images/M/MV5BMTYzNDM0ODQxMF5BMl5BanBnXkFtZTcwOTMyMzMzMg@@._V1_SX300.jpg,20th Century Fox,PG,"[{'Source': 'Internet Movie Database', 'Value': '2.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",10 Apr 2009,True,85 min,Dragonball Evolution,movie,http://dbthemovie.com,"Ben Ramsey (screenplay), Akira Toriyama (novel)",2009,tt1098327,2.6,"66,264",
1565,Jim Carrey,2 nominations.,"$35,098,986","USA, Canada",30 Mar 2010,Howard Hall,,"Documentary, Short, Adventure",English,77,"An underwater look at the diverse coastal regions of Southern Australia, New Guinea and the Indo-Pacific areas and the impact of global warming on the oceans.",https://m.media-amazon.com/images/M/MV5BMjA4NzczODU2MV5BMl5BanBnXkFtZTcwNzU2ODQwMg@@._V1_SX300.jpg,IMAX/Warner Bros.,G,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",13 Feb 2009,True,40 min,Under the Sea 3D,movie,http://www.imax.com/underthesea/,"Howard Hall, Toni Myers, Graeme Ferguson",2009,tt1020876,7.5,"1,659",
1566,"Daniel Day-Lewis, Sandro Dori, Nicole Kidman, Marion Cotillard",Nominated for 4 Oscars. Another 8 wins & 56 nominations.,"$19,628,665","UK, USA",04 May 2010,Rob Marshall,,"Drama, Musical, Romance","English, Italian, French",49,"Famous film director Guido Contini struggles to find harmony in his professional and personal lives, as he engages in dramatic relationships with his wife, his mistress, his muse, his agent, and his mother.",https://m.media-amazon.com/images/M/MV5BMTY5ODA2MzQxMl5BMl5BanBnXkFtZTcwMTI4NTEwMw@@._V1_SX300.jpg,The Weinstein Co.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",25 Dec 2009,True,118 min,Nine,movie,http://nine-movie.com/,"Michael Tolkin (screenplay), Anthony Minghella (screenplay), Arthur Kopit (Broadway musical ""Nine""), Maury Yeston (Broadway musical ""Nine""), Mario Fratti (Broadway musical ""Nine"" Italian original)",2009,tt0875034,5.8,"40,760",
1567,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1568,"Audrey Tautou, Benoît Poelvoorde, Alessandro Nivola, Marie Gillain",Nominated for 1 Oscar. Another 5 wins & 19 nominations.,"$5,997,682","France, Belgium",16 Feb 2010,Anne Fontaine,,"Biography, Drama","French, English",65,The story of Coco Chanel's rise from obscure beginnings to the heights of the fashion world.,https://m.media-amazon.com/images/M/MV5BMTA0NjYzMzQxNzBeQTJeQWpwZ15BbWU3MDI2MDA0ODI@._V1_SX300.jpg,Sony Pictures Classics,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",06 Nov 2009,True,105 min,Coco Before Chanel,movie,http://www.sonyclassics.com/cocobeforechanel,"Edmonde Charles-Roux (book), Anne Fontaine, Camille Fontaine",2009,tt1035736,6.7,"36,498",
1569,,,,,,,Movie not found!,,,,,,,,,,False,,,,,,,,,,
1570,"Colin Ford, Joel Gretsch, Djimon Hounsou, Dakota Fanning",1 win & 2 nominations.,"$31,730,682","USA, Canada",07 Jul 2009,Paul McGuigan,,"Action, Sci-Fi, Thriller","English, Cantonese",36,Two young Americans with special abilities must race to find a girl in Hong Kong before a shadowy government organization called Division does.,https://m.media-amazon.com/images/M/MV5BMTM2NjE5NTYzMl5BMl5BanBnXkFtZTcwNzc3OTMyMg@@._V1_SX300.jpg,Summit Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",06 Feb 2009,True,111 min,Push,movie,http://www.push-themovie.com/,David Bourla,2009,tt0465580,6.1,"100,843",
